losses_russiaequipment,losses_russiamodel,losses_russiasub_model,losses_russiamanufacturer,losses_russialosses_total,losses_russiaabandoned,losses_russiaabandoned and destroyed,losses_russiacaptured,losses_russiacaptured and destroyed,losses_russiacaptured and stripped,losses_russiadamaged,losses_russiadamaged and abandoned,losses_russiadamaged and captured,losses_russiadamaged beyond economical repair,losses_russiadestroyed,losses_russiadestroyed in a non-combat related incident,losses_russiasunk,losses_ukraineequipment,losses_ukrainemodel,losses_ukrainesub_model,losses_ukrainemanufacturer,losses_ukrainelosses_total,losses_ukraineUnnamed: 5,losses_ukraineabandoned,losses_ukraineabandoned and destroyed,losses_ukrainecaptured,losses_ukrainecaptured and destroyed,losses_ukrainedamaged,losses_ukrainedamaged and abandoned,losses_ukrainedamaged and captured,losses_ukrainedamaged beyond economical repair,losses_ukrainedestroyed,losses_ukrainescuttled to prevent capture by Russia,losses_ukrainesunk,losses_ukrainesunk but raised by Russia
Command Posts And Communications Stations,Unknown communications station,,Russia,1,,,,,,,,,,1.0,,,Engineering Vehicles And Equipment,UMP-350 engine heater,,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,UR-67 mine clearing charge on BTR-D APC,,the Soviet Union,1,,,1.0,,,,,,,,,,Engineering Vehicles And Equipment,ARS-14 decontamination and degassing vehicle,,the Soviet Union,3.0,,,,3.0,,,,,,,,,
Engineering Vehicles And Equipment,UR-77 'Meteorit'  mine clearing vehicle,,the Soviet Union,24,2.0,,16.0,,,,,,,6.0,,,Engineering Vehicles And Equipment,Ural-4320 KT-L recovery vehicle,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,GMZ-3 minelayer,,the Soviet Union,3,,,3.0,,,,,,,,,,Self-Propelled Anti-Tank Missile Systems,9P148 Konkurs ATGM carrier,,the Soviet Union,19.0,,1.0,,10.0,,,,,,8.0,,,
Engineering Vehicles And Equipment,RKhM-6 Povozka,,Russia,3,,,,,,,,,,3.0,,,Self-Propelled Anti-Tank Missile Systems,9P149 Shturm-S ATGM carrier,,the Soviet Union,2.0,,,,1.0,,,,1.0,,,,,
Engineering Vehicles And Equipment,RKhM-6 Povozka,with RP-377VM1 jammer,Russia,1,,,,,,,,,,1.0,,,Artillery Support Vehicles And Equipment,1V13 battery command and forward observer vehicle,,the Soviet Union,2.0,,,,,,,,,,2.0,,,
Engineering Vehicles And Equipment,RKhM-6 CBRN reconnaissance vehicle,,the Soviet Union,5,,,1.0,,,,,,,4.0,,,Artillery Support Vehicles And Equipment,1V14 battery command and forward observer vehicle,,the Soviet Union,6.0,,,,1.0,,,,,,5.0,,,
Engineering Vehicles And Equipment,BAT-2 heavy engineering vehicle,,the Soviet Union,6,,,3.0,,,,,,,3.0,,,Artillery Support Vehicles And Equipment,1V15 battery command and forward observer vehicle,,the Soviet Union,4.0,,,,4.0,,,,,,,,,
Engineering Vehicles And Equipment,MDK-3 trench-digging vehicle,,the Soviet Union,3,,,1.0,,,1.0,,,,1.0,,,Artillery Support Vehicles And Equipment,1V16M artillery battalion command and staff vehicle,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,PZM-2 trench-digging vehicle,,the Soviet Union,1,,,1.0,,,,,,,,,,Artillery Support Vehicles And Equipment,1V18 'Klyon-1' artillery command and forward observer vehicle,,the Soviet Union,7.0,,,,7.0,,,,,,,,,
Engineering Vehicles And Equipment,BTS-4A armoured recovery vehicle,,the Soviet Union,1,,,1.0,,,,,,,,,,Artillery Support Vehicles And Equipment,9T452 transporter-loader (for BM-27 'Uragan' MRL),,the Soviet Union,2.0,,,,,,,,,,2.0,,,
Engineering Vehicles And Equipment,BREM-1 armoured recovery vehicle,,the Soviet Union,24,3.0,,13.0,,,,,,,8.0,,,Towed Artillery,100mm BS-3 anti-tank gun,,the Soviet Union,3.0,,,,2.0,,,,,,1.0,,,
Engineering Vehicles And Equipment,BREM-2 armoured recovery vehicle,,the Soviet Union,1,,,1.0,,,,,,,,,,Towed Artillery,100mm MT-12 anti-tank gun,,the Soviet Union,16.0,,1.0,,11.0,,1.0,,,,3.0,,,
Engineering Vehicles And Equipment,BREM-Ch ''BREM-4'' armoured recovery vehicle,,the Czech Republic,4,1.0,,1.0,,,,,,,2.0,,,Towed Artillery,105mm L119 howitzer,,the United Kingdom,1.0,,,,,,1.0,,,,,,,
Engineering Vehicles And Equipment,BREM-D armoured recovery vehicle,,Russia,3,,,2.0,,,,,,,1.0,,,Towed Artillery,122mm D-30 howitzer,,the Soviet Union,3.0,,,,2.0,,,,,,1.0,,,
Engineering Vehicles And Equipment,BREM-K armoured recovery vehicle,,Russia,3,,,3.0,,,,,,,,,,Towed Artillery,152mm D-20 gun-howitzer,,the Soviet Union,7.0,,,,1.0,,1.0,,,,5.0,,,
Engineering Vehicles And Equipment,REM-KL recovery vehicle,,Russia,8,,,1.0,,,1.0,,,,6.0,,,Towed Artillery,152mm 2A36 Giatsint-B field-gun,,the Soviet Union,11.0,,,9.0,1.0,,1.0,,,,,,,
Engineering Vehicles And Equipment,MTP-A2 recovery vehicle,,Russia,3,1.0,,,,,,,,,2.0,,,Towed Artillery,152mm 2A65 Msta-B howitzer,,the Soviet Union,4.0,,2.0,,1.0,,1.0,,,,,,,
Engineering Vehicles And Equipment,MTP-A2.1 recovery vehicle,,Russia,3,,,1.0,,,,,,,2.0,,,Towed Artillery,155mm FH-70,,Estonia,2.0,,,,,,1.0,,,,1.0,,,
Engineering Vehicles And Equipment,Ural-4320 KET-L recovery vehicle,,Russia,2,,,1.0,,,,,,,1.0,,,Towed Artillery,155mm M777A2 howitzer,,the United States,39.0,,,,,,7.0,,,,32.0,,,
Engineering Vehicles And Equipment,Ural-4320 KT-L recovery vehicle,,Russia,5,,,2.0,,,,,,,3.0,,,Towed Artillery,Unknown towed artillery,,Ukraine,14.0,,,,,,4.0,,,,10.0,,,
Engineering Vehicles And Equipment,IMR-2(M) combat engineering vehicle,,the Soviet Union,23,2.0,1.0,9.0,,,,1.0,1.0,,9.0,,,Self-Propelled Artillery,120mm Bars-8MMK,,Ukraine,2.0,,,,,,,,,,2.0,,,
Engineering Vehicles And Equipment,IMR-3M combat engineering vehicle,,Russia,1,,,,,,,,1.0,,,,,Self-Propelled Artillery,120mm BTR-3M2,,Ukraine,3.0,,,,2.0,,,,,,1.0,,,
Engineering Vehicles And Equipment,PTS-2  tracked amphibious transport,,the Soviet Union,13,4.0,,2.0,,,,1.0,1.0,,5.0,,,Self-Propelled Artillery,120mm 2S9 Nona,,the Soviet Union,2.0,,,,,,,,,,2.0,,,
Engineering Vehicles And Equipment,TMM-3 bridge layer,,the Soviet Union,25,1.0,,13.0,,,,1.0,3.0,,7.0,,,Self-Propelled Artillery,122mm 2S1 Gvozdika,,the Soviet Union,41.0,,,,12.0,,2.0,,,,27.0,,,
Engineering Vehicles And Equipment,MTU-72 bridge layer,,Russia,2,,,1.0,,,,,,,1.0,,,Self-Propelled Artillery,152mm 2S3 Akatsiya,,the Soviet Union,23.0,,,,8.0,,2.0,,,,13.0,,,
Engineering Vehicles And Equipment,PMP floating bridge,,the Soviet Union,10,,,1.0,,,,,1.0,,8.0,,,Self-Propelled Artillery,152mm 2S5 Giatsint-S,,the Soviet Union,4.0,,,,3.0,,,,,,1.0,,,
Engineering Vehicles And Equipment,PP-2005 floating bridge,,Russia,28,9.0,,4.0,,,,4.0,,,11.0,,,Self-Propelled Artillery,152mm 2S19 Msta-S,,the Soviet Union,4.0,,,,,,3.0,,,,1.0,,,
Engineering Vehicles And Equipment,Pontoon bridge,,Russia,10,1.0,,3.0,,,,,,,6.0,,,Self-Propelled Artillery,155mm M109A3/A4/A5,,Norway,8.0,,,,,,3.0,,,,5.0,,,
Engineering Vehicles And Equipment,BMK-130M/BMK-150 towing and motor boat,,the Soviet Union,1,,,1.0,,,,,,,,,,Self-Propelled Artillery,155mm AHS Krab,,Poland,9.0,,,,,,2.0,,,,7.0,,,
Engineering Vehicles And Equipment,BMK-460 towing and motor boat,,the Soviet Union,9,7.0,,,,,,,,,2.0,,,Self-Propelled Artillery,203mm 2S7 Pion,,the Soviet Union,8.0,,,,1.0,,4.0,,1.0,,2.0,,,
Engineering Vehicles And Equipment,BMK-MT towing and motor boat,,the Soviet Union,2,,,,,,,,,,2.0,,,Self-Propelled Artillery,155mm ShKH Zuzana 2,,Slovakia,1.0,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,BMK-MO towing and motor boat,,the Soviet Union,2,,,1.0,,,1.0,,,,,,,Self-Propelled Artillery,155mm Caesar,,France,1.0,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,KrAZ-255B with excavator,,the Soviet Union,1,,,,,,,,,,1.0,,,Self-Propelled Artillery,155mm Panzerhaubitze 2000,,Germany,1.0,,,,,,1.0,,,,,,,
Engineering Vehicles And Equipment,KamAZ-5350 with EOV-3523 excavator,,Russia,9,,,5.0,,,,,,,4.0,,,Self-Propelled Artillery,Unknown SPG,,Ukraine,3.0,,,,,,,,,,3.0,,,
Engineering Vehicles And Equipment,KamAZ-5350 with KS-45719-7M crane,,Russia,5,,,2.0,,,,,,,3.0,,,Multiple Rocket Launchers,80mm B-8 makeshift MRL,,Ukraine,1.0,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,Ural-4320 with KS-3574M3 or KS-3574M crane,,Russia,4,,,1.0,,,,,,,3.0,,,Multiple Rocket Launchers,122mm BM-21 Grad,,the Soviet Union,27.0,,,,4.0,,2.0,,,,21.0,,,
Engineering Vehicles And Equipment,KamAZ-63501 with KS-55729-7M 32-ton crane,,Russia,1,,,,,,,,,,1.0,,,Multiple Rocket Launchers,122mm Bastion-1,,Ukraine,1.0,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,KamAZ KMV-10V boom crane truck,,Russia,4,,,1.0,,,,,,,3.0,,,Multiple Rocket Launchers,220mm BM-27 Uragan,,the Soviet Union,5.0,,,,4.0,,,,,,1.0,,,
Engineering Vehicles And Equipment,Ural-4320 with excavator,,Russia,1,,,,,,,,,,1.0,,,Multiple Rocket Launchers,220mm Bureviy,,Ukraine,1.0,,,,,,,,,,1.0,,,
Engineering Vehicles And Equipment,ED2x30-T400-3RA mobile generator,,Russia,1,,,,,,1.0,,,,,,,Multiple Rocket Launchers,122mm RM-70,,the Czech Republic,1.0,,,,,,1.0,,,,,,,
Engineering Vehicles And Equipment,Mobile generator for Podlet-K1 low-altitude S-band surveillance radar,,Russia,1,,,,,,,,,,1.0,,,Anti-Aircraft Guns,23mm ZU-23,,the Soviet Union,3.0,,,,3.0,,,,,,,,,
Engineering Vehicles And Equipment,MTO-UB1 maintenance vehicle,,Russia,3,,,2.0,,,,,,,1.0,,,Anti-Aircraft Guns,23mm 23 ItK 61,,Finland,1.0,,,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,MTO-AT mobile workshop,,Russia,2,,,1.0,,,,,,,1.0,,,Self-Propelled Anti-Aircraft Guns,ZSU-23-4 Shilka,,the Soviet Union,3.0,,,,2.0,,1.0,,,,,,,
Engineering Vehicles And Equipment,MTO-AG-3M,,Russia,1,,,,,,,,,,1.0,,,Self-Propelled Anti-Aircraft Guns,2K22M Tunguska-M,,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Engineering Vehicles And Equipment,ARS-14 decontamination and degassing vehicle,,Russia,3,,,2.0,,,,,,,1.0,,,Surface-To-Air Missile Systems,9K33 Osa,,the Soviet Union,17.0,,,,4.0,,1.0,,,,12.0,,,
Engineering Vehicles And Equipment,Uran-6 mine-clearing robotic system,,Russia,1,,,,,,,,,,1.0,,,Surface-To-Air Missile Systems,9K35 Strela-10,,the Soviet Union,10.0,,1.0,,,,,,,,9.0,,,
Engineering Vehicles And Equipment,APA-80 engine starting vehicle,,the Soviet Union,1,,,,,,,,,,1.0,,,Surface-To-Air Missile Systems,9A310M1 TELAR (for Buk-M1),,the Soviet Union,8.0,,,,1.0,,1.0,,,,6.0,,,
Self-Propelled Anti-Tank Missile Systems,9P148 Konkurs,,the Soviet Union,3,,,,,,,,1.0,,2.0,,,Surface-To-Air Missile Systems,9A39M1 TEL (for Buk-M1),,the Soviet Union,3.0,,,,,,,,,,3.0,,,
Self-Propelled Anti-Tank Missile Systems,9P149 Shturm-S,,the Soviet Union,32,4.0,,19.0,,,,,,,9.0,,,Surface-To-Air Missile Systems,5P851A  (launcher for S-300PT),,the Soviet Union,20.0,,,,,,,,,,20.0,,,
Self-Propelled Anti-Tank Missile Systems,9P163M-1 Kornet-T,,Russia,2,,,,,,,,,,2.0,,,Surface-To-Air Missile Systems,5P85D (launcher for S-300PS),,the Soviet Union,2.0,,,,1.0,,,,,,1.0,,,
Artillery Support Vehicles And Equipment,1V110 BM-21 Grad battery command vehicle,,the Soviet Union,1,,,,1.0,,,,,,,,,Surface-To-Air Missile Systems,5P85S (launcher for S-300PS),,the Soviet Union,10.0,,,,1.0,,1.0,,,,8.0,,,
Artillery Support Vehicles And Equipment,1V13(M) battery fire control center,,the Soviet Union,16,1.0,2.0,9.0,,,,,1.0,,3.0,,,Surface-To-Air Missile Systems,5P85D/S (launcher for S-300PS),,the Soviet Union,14.0,,,,,,,,,,14.0,,,
Artillery Support Vehicles And Equipment,1V14 battery command and forward observer vehicle,,the Soviet Union,13,1.0,,10.0,,,,,1.0,,1.0,,,Surface-To-Air Missile Systems,Launcher for S-300,,the Soviet Union,3.0,,,,,,,,,,3.0,,,
Artillery Support Vehicles And Equipment,1V15M fire control and observation vehicle,,the Soviet Union,1,,,,,,,,,,1.0,,,Radars And Communications Equipment,P-14 'Tall King',,the Soviet Union,1.0,,,,,,1.0,,,,,,,
Artillery Support Vehicles And Equipment,1V16 battalion fire direction vehicle,,the Soviet Union,1,,,1.0,,,,,,,,,,Radars And Communications Equipment,P-18 'Spoon Rest D',,the Soviet Union,4.0,,,,1.0,,,,,,3.0,,,
Artillery Support Vehicles And Equipment,1V18 'Klyon-1' artillery command and forward observer vehicle,,the Soviet Union,1,,,,,,,,,,1.0,,,Radars And Communications Equipment,P-18 'Malakhit',,Ukraine,3.0,,,,1.0,,,,,,2.0,,,
Artillery Support Vehicles And Equipment,1V119 artillery fire direction vehicle,,the Soviet Union,11,,,8.0,,,,,1.0,,2.0,,,Radars And Communications Equipment,P-19 'Flat Face B',,the Soviet Union,2.0,,,,,,,,,,2.0,,,
Artillery Support Vehicles And Equipment,1V1003 command and observation vehicle (for 1V198 artillery fire control system),,Russia,1,,,1.0,,,,,,,,,,Radars And Communications Equipment,P-35/37 'Bar Lock',,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Artillery Support Vehicles And Equipment,9T452 transporter-loader (for BM-27 'Uragan' MRL),,the Soviet Union,37,,,11.0,,,,,,,26.0,,,Radars And Communications Equipment,PRV-11 'Side Net',,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Artillery Support Vehicles And Equipment,TZM-T reloader vehicle (for TOS-1A),,Russia,7,,1.0,4.0,,,,,,,2.0,,,Radars And Communications Equipment,PRV-13 'Odd Pair',,the Soviet Union,2.0,,,,1.0,,,,,,1.0,,,
Artillery Support Vehicles And Equipment,2F77M transloading vehicle for 2K22M Tunguska-M,,Russia,1,,,,,,,,1.0,,,,,Radars And Communications Equipment,1L22 'Parol',,the Soviet Union,4.0,,,,1.0,,1.0,,,,2.0,,,
Artillery Support Vehicles And Equipment,PRP-4A Argus artillery reconnaissance vehicle,,Russia,1,,,1.0,,,,,,,,,,Radars And Communications Equipment,36D6 'Tin Shield',,the Soviet Union,10.0,,,,1.0,,1.0,,,,8.0,,,
Towed Artillery,100mm MT-12 anti-tank gun,,the Soviet Union,9,,,7.0,,,,,,,2.0,,,Radars And Communications Equipment,5N63S 'Flap Lid B' (for S-300PS),,the Soviet Union,8.0,,,,,,,,,,8.0,,,
Towed Artillery,120mm 2B16 Nona-K howitzer,,the Soviet Union,11,2.0,,7.0,,,,,1.0,,1.0,,,Radars And Communications Equipment,5N63-1 'Flap Lid A' on 40V6M mast (for S-300PT),,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Towed Artillery,2B9 Vasilek 82mm automatic gun mortar,,the Soviet Union,5,,,4.0,,,,,,,1.0,,,Radars And Communications Equipment,5N66M 'Clam Shell' on 40V6M mast (for S-300PT),,the Soviet Union,2.0,,1.0,,1.0,,,,,,,,,
Towed Artillery,122mm D-30 howitzer,,the Soviet Union,39,2.0,,31.0,,,,,1.0,,5.0,,,Radars And Communications Equipment,"R-410-7,5 tropospheric radio relay communication station",,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Towed Artillery,152mm D-20 gun-howitzer,,the Soviet Union,8,,,2.0,,,1.0,,,,5.0,,,Radars And Communications Equipment,SNAR-10 battlefield surveillance radar,,the Soviet Union,3.0,,,,2.0,,,,,,1.0,,,
Towed Artillery,152mm 2A65 Msta-B howitzer,,the Soviet Union,75,1.0,,28.0,,,4.0,,4.0,,37.0,,,Radars And Communications Equipment,PRV-16 'Thin Skin B',,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Towed Artillery,152mm 2A36 Giatsint-B,,the Soviet Union,13,,,6.0,,,1.0,,2.0,,4.0,,,Radars And Communications Equipment,1B44-1 (RPMK-1) radiosonde weather radar,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Towed Artillery,Unknown towed artillery,,Russia,4,,,,,,,,,,4.0,,,Radars And Communications Equipment,PRV-16ML height-finder radar,,Lithuania,1.0,,,,,,,,,,1.0,,,
Self-Propelled Artillery,120mm 2S9 Nona,,the Soviet Union,22,,,5.0,,,,,,,17.0,,,Radars And Communications Equipment,P-18ML long-range VHF surveillance radar,,Lithuania,1.0,,,,,,1.0,,,,,,,
Self-Propelled Artillery,120mm 2S23 Nona-SVK,,Russia,4,,,3.0,,,,,,,1.0,,,Radars And Communications Equipment,AN/TPQ-36 lightweight counter mortar radar,,the United States,1.0,,,,,,1.0,,,,,,,
Self-Propelled Artillery,120mm 2S34 Khosta,,Russia,2,,,2.0,,,,,,,,,,Radars And Communications Equipment,AN/TPQ-49 lightweight counter mortar radar,,the United States,1.0,,,,1.0,,,,,,,,,
Self-Propelled Artillery,122mm 2S1 Gvozdika,,the Soviet Union,41,1.0,,8.0,,,,2.0,,,30.0,,,Jammers And Deception Systems,NOTA,,Ukraine,1.0,,,,1.0,,,,,,,,,
Self-Propelled Artillery,152mm 2S3(M) Akatsiya,,the Soviet Union,97,2.0,,31.0,,,3.0,,,,61.0,,,Aircraft,MiG-29 fighter aircraft,,the Soviet Union,16.0,,,,,,,,,,16.0,,,
Self-Propelled Artillery,152mm 2S5 Giatsint-S,,the Soviet Union,19,,,6.0,,,1.0,,,,12.0,,,Aircraft,Su-27 fighter aircraft,,the Soviet Union,7.0,,,,,,,,,,7.0,,,
Self-Propelled Artillery,152mm 2S19 Msta-S,,the Soviet Union,99,2.0,2.0,32.0,,,3.0,,,,60.0,,,Aircraft,Su-25 close air support aircraft,,the Soviet Union,16.0,,,,,,,,,1.0,15.0,,,
Self-Propelled Artillery,152mm 2S33 Msta-SM2,,Russia,24,,,15.0,,,,,1.0,,8.0,,,Aircraft,Su-24M strike aircraft,,the Soviet Union,13.0,,,,,,,,,,13.0,,,
Self-Propelled Artillery,203mm 2S7M Malka,,the Soviet Union,6,,,1.0,,,1.0,,,,4.0,,,Aircraft,Unknown fighter/strike aircraft,,Ukraine,1.0,,,,,,,,,,1.0,,,
Self-Propelled Artillery,240mm 2S4 Tyulpan,,the Soviet Union,4,,,,,,,,,,4.0,,,Aircraft,Il-76 transport aircraft,,the Soviet Union,2.0,,,,1.0,,,,,,1.0,,,
Self-Propelled Artillery,Unknown SPG,,Russia,9,,,,,,2.0,,,,7.0,,,Aircraft,An-26 transport aircraft,,the Soviet Union,2.0,,,,,,,,,,2.0,,,
Multiple Rocket Launchers,122mm BM-21 Grad,,the Soviet Union,101,2.0,1.0,32.0,,,3.0,,4.0,,59.0,,,Helicopters,Mi-2 training helicopter,,the Soviet Union,4.0,,,,3.0,,,,,,1.0,,,
Multiple Rocket Launchers,122mm 9P138 Grad-1,,the Soviet Union,3,,,,,,,,1.0,,2.0,,,Helicopters,Mi-8 transport helicopter,,the Soviet Union,21.0,,,,,,1.0,,,,20.0,,,
Multiple Rocket Launchers,220mm BM-27 Uragan,,the Soviet Union,47,,,6.0,2.0,,,,,,39.0,,,Helicopters,Mi-14 maritime helicopter,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Multiple Rocket Launchers,300mm BM-30 Smerch,,the Soviet Union,1,,,,,,,,,,1.0,,,Helicopters,Mi-24P attack helicopter,,the Soviet Union,2.0,,,,,,,,,,2.0,,,
Multiple Rocket Launchers,122mm 2B17 Tornado-G,,Russia,13,,,6.0,,,,,2.0,,5.0,,,Helicopters,Mi-24 attack helicopter,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Multiple Rocket Launchers,220mm TOS-1A,,Russia,5,,,2.0,,,,,2.0,,1.0,,,Unmanned Combat Aerial Vehicles,Bayraktar TB2 UCAV,,Turkey,15.0,,,,,,,,,,15.0,,,
Multiple Rocket Launchers,Unknown MRL,,Russia,2,,,,,,,,,,2.0,,,Unmanned Aerial Vehicles,A1-SM Fury,,Ukraine,18.0,,,,10.0,,,,,,8.0,,,
Anti-Aircraft Guns,23mm ZU-23-2,,the Soviet Union,16,,,12.0,,,,,1.0,,3.0,,,Unmanned Aerial Vehicles,ASU-1 Valkyrja,,Ukraine,4.0,,,,2.0,,,,,,2.0,,,
Self-Propelled Anti-Aircraft Guns,BTR-ZD Skrezhet,,the Soviet Union,3,,,2.0,,,,,,,1.0,,,Unmanned Aerial Vehicles,UJ-22,,Ukraine,1.0,,,,,,,,,,1.0,,,
Self-Propelled Anti-Aircraft Guns,ZSU-23-4 Shilka,,the Soviet Union,7,1.0,,4.0,,,,,1.0,,1.0,,,Unmanned Aerial Vehicles,Leleka-100,,Ukraine,10.0,,,,5.0,,,,1.0,,4.0,,,
Self-Propelled Anti-Aircraft Guns,2K22M1 Tunguska,,Russia,13,1.0,5.0,1.0,,,,1.0,,,5.0,,,Unmanned Aerial Vehicles,Spaitech Sparrow,,Ukraine,2.0,,,,2.0,,,,,,,,,
Surface-To-Air Missile Systems,9K33 Osa,,the Soviet Union,9,1.0,,3.0,,,,1.0,,,4.0,,,Unmanned Aerial Vehicles,Spectator-M1,,Ukraine,3.0,,,,1.0,,,,,,2.0,,,
Surface-To-Air Missile Systems,9K35 Strela-10,,the Soviet Union,14,2.0,,4.0,,,,,,,8.0,,,Unmanned Aerial Vehicles,PD-1,,Ukraine,1.0,,,,1.0,,,,,,,,,
Surface-To-Air Missile Systems,9A310M1-2 TELAR (for Buk-M1-2),,Russia,4,,,,,,1.0,,,,3.0,,,Unmanned Aerial Vehicles,ITEC Skif,,Ukraine,1.0,,,,1.0,,,,,,,,,
Surface-To-Air Missile Systems,9A39M1-2 TEL (for Buk-M1-2),,Russia,5,,,,,,,,,,5.0,,,Unmanned Aerial Vehicles,Orlik UAV,,Ukraine,1.0,,,,,,,,,,1.0,,,
Surface-To-Air Missile Systems,9A317 TELAR (for Buk-M2),,Russia,9,,,1.0,,,1.0,,,,7.0,,,Unmanned Aerial Vehicles,Shark UAV,,Ukraine,1.0,,,,1.0,,,,,,,,,
Surface-To-Air Missile Systems,9A316 TEL (for Buk-M2),,Russia,3,,,3.0,,,,,,,,,,Unmanned Aerial Vehicles,FlyEye,,Poland,3.0,,,,1.0,,,,,,2.0,,,
Surface-To-Air Missile Systems,Unknown Buk SAM system,,Russia,4,,,,,,,,,,4.0,,,Unmanned Aerial Vehicles,Penguin C,,Latvia,1.0,,,,1.0,,,,,,,,,
Surface-To-Air Missile Systems,9A330 Tor TLAR (for 9K330 Tor),,the Soviet Union,8,,,3.0,,,,,3.0,,2.0,,,Unmanned Aerial Vehicles,Bayraktar Mini,,Turkey,2.0,,,,1.0,,,,,,1.0,,,
Surface-To-Air Missile Systems,9A331 TLAR (for 9K331 Tor-M1),,Russia,9,,1.0,2.0,,,,,,,6.0,,,Unmanned Aerial Vehicles,AeroVironment RQ-20 Puma,,the United States,1.0,,,,1.0,,,,,,,,,
Surface-To-Air Missile Systems,9A331M TLAR (for 9K332 Tor-M2),,Russia,8,1.0,,2.0,,,1.0,,,,4.0,,,Unmanned Aerial Vehicles,Malloy Aeronautics T150 cargo UAV,,the United Kingdom,1.0,,,,1.0,,,,,,,,,
Surface-To-Air Missile Systems,9K331MDT Tor-M2DT,,Russia,2,,,,,,,,,,2.0,,,Unmanned Aerial Vehicles,Unknown reconnaissance UAV,,Ukraine,8.0,,,,,,,,,,8.0,,,
Surface-To-Air Missile Systems,Pantsir-S1,,Russia,14,,1.0,2.0,,,,,,,11.0,,,Naval Ships,Krivak III-class frigate 'Hetman Sahaydachniy',,the Soviet Union,1.0,,,,,,,,,,,1.0,,
Surface-To-Air Missile Systems,5P85SM2-01 (launcher for S-400),,Russia,1,,,,,,,,,,1.0,,,Naval Ships,Gyurza-M-class gunboat,,Ukraine,1.0,,,,,,1.0,,,,,,,
Surface-To-Air Missile Systems,5P85SD/SM (launcher for S-300 PMU(-1)),,the Soviet Union,2,,,,,,,,,,2.0,,,Naval Ships,Gyurza-M-class gunboat,Akkerman 'P174',Ukraine,1.0,,,,1.0,,,,,,,,,
Radars,9S36 (for Buk-M2),,Russia,2,,,1.0,,,,,,,1.0,,,Naval Ships,Gyurza-M-class gunboat,Kremenchuk 'P177',Ukraine,1.0,,,,1.0,,,,,,,,,
Radars,48Ya6-K1 Podlet-K1 low-altitude S-band surveillance radar,,Russia,2,,,,,,,,,,2.0,,,Naval Ships,Gyurza-M-class gunboat,Lubny 'P178',Ukraine,1.0,,,,,,,,,,,,,1.0
Radars,9S18М1(-2) (for Buk-M2),,Russia,1,,,1.0,,,,,,,,,,Naval Ships,Gyurza-M-class gunboat,Vyshhorod 'P179',Ukraine,1.0,,,,1.0,,,,,,,,,
Radars,9S18М1(-3) (for Buk-M3),,Russia,1,,,,,,,,,,1.0,,,Naval Ships,Island-class patrol boat P190 Slovyansk,,the United States,1.0,,,,,,,,,,,,1.0,
Radars,9S18 Kupol TUBE ARM Search and Acquisition Radar for Buk-M2,,Russia,1,,,,,,,,,,1.0,,,Naval Ships,Stenka-class patrol boat (Operated by the Sea Guard),BG-32 'Donbass',the Soviet Union,1.0,,,,,,,,,,,,1.0,
Radars,PPRU-1(M) '9S80(-1)' 'Sborka' (for 9K35 Strela-10),,Russia,2,,,1.0,,,,,,,1.0,,,Naval Ships,Zhuk-class patrol boat (Sea Guard),'BG 108',the Soviet Union,1.0,,,,,,,,,,1.0,,,
Radars,Fara ground surveillance radar,,Russia,2,,,2.0,,,,,,,,,,Naval Ships,Zhuk-class patrol boat (Sea Guard),'BG 118',the Soviet Union,1.0,,,,1.0,,,,,,,,,
Radars,SNAR-10M1 battlefield surveillance radar,,Russia,1,,,1.0,,,,,,,,,,Naval Ships,Zhuk-class patrol boat (Sea Guard),unknown ID,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Radars,1L261 (for 1L260 Zoopark-1M counter-battery radar complex),,Russia,6,,,2.0,,,1.0,,,,3.0,,,Naval Ships,Sorum-class seagoing tugboat 'Korets' ''A830 or P186'',,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Radars,1L271 portable mortar locating reconnaissance radar,,Russia,1,,,1.0,,,,,,,,,,Naval Ships,Project 1258 Yevgenya-class minesweeper 'Henichesk',,the Soviet Union,1.0,,,,,,,,,,,,1.0,
Radars,P-18T,,Russia,1,,,,,,,,,,1.0,,,Naval Ships,Pr.304 Amur-class command ship 'Donbas' ''U-500'',,Poland,1.0,,,,,,,,,,1.0,,,
